Sr_No,Location_Coordinates,Location,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
1,"11.6357989, 92.7120575",Near Dollygunj Junction,Chakraborty Multi Speciality Hospital,0,Hospital,Allopathic,Near Dollygunj Junction,Andaman and Nicobar Islands,South Andaman,0,744101,03192 251971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,640
2,"11.8311681, 92.6586401",Medical Board Office,Inhs Dhanvantri,0,0,Allopathic,Medical Board Office,Andaman and Nicobar Islands,South Andaman,0,744101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,640
3,"11.8311681, 92.6586401",Near Masjid,Maricar Hospital,0,Hospital,Allopathic,Near Masjid,Andaman and Nicobar Islands,South Andaman,0,744103,03192 233434,9933280204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,640
4,"11.6498468, 92.7294624","Lamba Line, P.B. No. 526",Pillar Health Centre,0,0,Allopathic,"Lamba Line, P.B. No. 526",Andaman and Nicobar Islands,South Andaman,0,744103,03192 233193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,640
5,"11.6233774, 92.7264828","GB Pant Road, City Centre, Port Blair","G B Pant Hospital, Port Blair",Public/ Government,Hospital,Allopathic,"GB Pant Road, City Centre, Port Blair",Andaman and Nicobar Islands,South Andaman,0,744103,"03192 233665, 03192 246058, 03192 233455, 03192 230858",  ,  ,0,0,0,0,0,  ,  ,0,http://www.and.nic.in/C_charter/health/dhs/index.html#gph,"Surgery, Medicine, Gynaecology, Pediatrics, ENT, Pathology and Ophthalmology",  ,  ,  ,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0,  ,  ,  ,  ,  ,35,640
6,"17.4274003, 78.4311174","Road No.1, Banjara Hills","Care Hospital, Banjara",Private,Hospital,Allopathic,"Road No.1, Banjara Hills",Andhra Pradesh, Hyderabad,0,500034,"040 30418888, 040 66668888, 040 23234444",  , 040 30418888,0,0,0,18001086666,0,0,info@carehospitals.com,0,www.carehospitals.com,"Anaesthesiology, Bio-Chemistry, Cardiac Yoga, 
Cardiology
Cardiothoracic Surgery, Chest Physician, Critical Care, Dentistry and Maxillofacial Surgery, Dermatology, Diabetology, Dietetics, Emergency Medicine, 
 Endocrinology, Endoscopy, Gastroenterology, 
 Gastrointestinal Medicine, 
 General Medicine, 
 General Surgery, 
 Geriatrics, Gynaecology, 
 haematology, Hepatology, 
 Internal Medicine, 
 Interventional Radiology, 
 Laboratory Medicine, 
 Laparoscopic Surgery, 
 Medical Oncology, 
 Micro-Biology, Nephrology, 
 Neuro Surgery, Neurology, 
 Nuclear Medicine, 
 Obstetrics and Gynaecology, 
 Ophthalmology, 
 Orthopedics and Traumatology, 
Otorhinolaryngology
 Pathology, Pediatric, Cardiology, 
 Pediatric Surgery, Pediatric, 
 Pediatric and Neonatology, 
 Physiotherapy, Plastic Surgery and Cosmetic Surgery, Preventive, Medicine / Wellness, Psychiatry, 
 Pulmonology, Radio-Diagnosis, 
 Radiology, Respiratory, Medicine, Rheumatology, Sports Medicine
 Surgical Gastroenterology
 Surgical Oncology, Urology
 Vascular Surgery","Ambulance, Blood Bank, 
Casualty, Diagnostic, Services, 
Dialysis Unit, Electrotherapy, 
Emergency Room, Exercise therapy, 
Home Health, Care Services
Lifestyle Clinic - A Preventive Medicine Centre, Pharmacy",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0,  ,  ,  ,  ,  ,28,0
7,"14.6795736, 77.592469","7/201, Court Road Anantapur 515001  Anantapur ",Aasha Hospitals,0,0,0,"7/201, Court Road ",Andhra Pradesh,Anantapur,0,515001, 08554    274194 ,9440285832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
8,,"10-470, Adimurthy Nagar, Opposite Guild Off Service School",Abhaya Kidney Care Multispeciality Hospital,0,0,0,"10-470, Adimurthy Nagar, Opposite Guild Off Service School",Andhra Pradesh,Anantapur,0,515001,277444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
9,"14.6818877, 77.6005911","Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Baby Hospital,0,0,0,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
10,"14.6723351, 77.6018211","12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur ",Dr Akbar Eye Hospital And Laser Centre,0,0,0,"12-3-234, 6Th Cross Sai Nagar ",Andhra Pradesh,Anantapur,0,515001, 08554    235009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,553
