hospital_name,state,district,latitude,longitude,rating,specialties,user_lat,user_lon,disease_query,distance_km,match_score,score
Railway Workshop Hospital Kanchrapara,West Bengal,North 24 Parganas,22.9492,88.4209,3.6,"General Medicine 
Orthopaedics 
Gynaecology
General Surgery
Obstetrics
ENT
Paediatrics
",22.834616502539916,87.93686625222021,Oncology,51.26,0.5,0.4285
Vijaya Hospital,Karnataka,Belagavi,15.8742,74.5143,4.3,"Surgical Oncology  
Radiation Oncology  
Orthopaedics  
General Medicine  
Burns  
Plastic & reconstructive Surgery  
Genitourinary Surgery  
General Surgery  
Medical Oncology  
Polytrauma  
Obstetrics 
Gynaecology  
ENT",16.145470346685947,74.08834465173409,ENT,54.58,1.0,0.7191
Indira Gandhi District Hospital Mandsaur,Madhya Pradesh,Mandsaur,24.0731,75.0688,3.5,"
General Surgery  
Critical Care  
Orthopaedics  
Polytrauma  
Burns  
Plastic & reconstructive Surgery  
Obstetrics & Gynaecology  
Neonatology  
Ophthalmology  
Paediatrics  
Treatment Procedure Dental Procedures  
ENT  
General Medicine",23.67859425983027,75.02533457048291,Neurology,43.92,0.5,0.4636
Chittaranjan National Cancer Institute,West Bengal,Kolkata,22.5248,88.3467,3.7,"Medical Oncology 
Surgical Oncology
Radiation Oncology",22.51425276027756,88.8323504541106,Oncology,49.98,1.0,0.6522
Railway Workshop Hospital Kanchrapara,West Bengal,North 24 Parganas,22.9492,88.4209,3.6,"General Medicine 
Orthopaedics 
Gynaecology
General Surgery
Obstetrics
ENT
Paediatrics
",22.624154927095937,88.90306834332944,Oncology,61.21,0.0,0.1305
Sir Aurobindo Institute of Medical Sciences,Madhya Pradesh,Indore,22.7961,75.8451,4.3," 
Medical Oncology  
Surgical Oncology  
Radiation Oncology  
Ophthalmology  
Burns  
Plastic & reconstructive Surgery  
Obstetrics & Gynaecology  
Orthopaedics  
Cardiology  
General Medicine  
Neonatology  
Paediatric surgery  
Neurology  
Treatment Procedure Dental Procedures  
Genitourinary Surgery  
Neuro Surgery  
Cardio Thoracic Surgery  
Chest diseases and respiratory medicine (Pulmonology)  
General Surgery  
Nephrology  
Critical Care  
Paediatrics  
ENT  
Polytrauma  
Paediatric Cancer",22.932432618185896,75.59556181860559,Cardiology,29.73,1.0,0.845
HHP Hospital Pvt Ltd,West Bengal,24 Paraganas South,22.4587,88.3843,4.1,"Obstetrics
Gynaecology
Nephrology
Neonatology
Critical Care
ENT
General Surgery
Orthopaedics
Paediatrics",22.836073071927956,88.6250686177542,Cardiology,48.57,0.5,0.5559
Patliputra Medical College and Hospital,Jharkhand,Dhanbad,23.7954,86.427,4.3,"Burns
Plastic & Reconstructive Surgery
Cardiology
Chest Diseases and Respiratory Medicine (Pulmonology)
Critical Care
ENT
General Medicine
General Surgery
Genitourinary Surgery
Medical Oncology
Neonatology
Nephrology
Neurology
Neuro Surgery
Obstetrics & Gynaecology
Ophthalmology
Orthopaedics
Paediatrics
Paediatric Surgery
Polytrauma
Psychiatry
Surgical Oncology
Treatment Procedure Dental Procedures





















",23.994912210767193,86.06535309241781,Neurology,42.95,1.0,0.8389
Sadar Hospital,Jharkhand,Bokaro,23.6408,86.1597,3.2,"General Medicine 
Orthopaedics
Obstetrics 
Gynaecology
General Surgery
Opthalmology
Paediatrics",24.089945731591385,86.54638038729804,Cardiology,63.45,0.0,0.1921
Sadar Hospital,Jharkhand,Bokaro,23.6408,86.1597,3.2,"General Medicine 
Orthopaedics
Obstetrics 
Gynaecology
General Surgery
Opthalmology
Paediatrics",23.179986326675646,86.07764603171557,Pediatrics,51.72,0.5,0.4798
Madhav Nagar Hospital,Madhya Pradesh,Ujjain,23.1781,75.7941,3.8,"
Emergency Room Packages (Care requiring less than 12 hrs stay)  
Medical Oncology  
Neo-natal care Packages  
Obstetrics & Gynaecology  
Paediatric Cancer  
Paediatric Medical management  
Paediatric Medical Management  
Polytrauma  
Radiation Oncology  
General Surgery  
Ophthalmology  
Treatment Procedure Dental Procedures  
General Medicine  
Orthopaedics",23.624294542881692,76.0753960504712,ENT,57.17,1.0,0.8187
Peerless Hospitex Hospital and Research Center,West Bengal,Kolkata,22.4807,88.3942,4.1,"Cardio Thoracic Surgery
Cardiology
General Surgery 
Genitourinary Surgery",22.94287254847454,88.2690705795237,Cardiology,52.77,1.0,0.7662
Eastern Railway Hospital Asansol,West Bengal,Paschim Bardhaman,23.6872,86.9664,3.8,"General Medicine 
Orthopaedics 
Gynaecology
General Surgery
Opthalmology
Obstetrics
",23.447149862854264,86.91964084682883,Orthopedics,27.01,0.0,0.4063
Surya Super Specialty Hospital,Jharkhand,Sahibganj,25.2464,87.6315,4.5,"General Medicine 
Orthopaedics
Obstetrics 
 Gynaecology
Genitourinary Surgery
General Surgery",24.987484832329635,87.33654532850653,General Medicine,41.32,1.0,0.7301
CHC Gola,Jharkhand,Ramgarh,23.5395,85.7155,3.5,"General Medicine 
Obstetrics 
Gynaecology
General Surgery
Paediatrics",23.94997127840327,85.51345945154196,ENT,49.91,0.5,0.5557
Madhav Nagar Hospital,Madhya Pradesh,Ujjain,23.1781,75.7941,3.8,"
Emergency Room Packages (Care requiring less than 12 hrs stay)  
Medical Oncology  
Neo-natal care Packages  
Obstetrics & Gynaecology  
Paediatric Cancer  
Paediatric Medical management  
Paediatric Medical Management  
Polytrauma  
Radiation Oncology  
General Surgery  
Ophthalmology  
Treatment Procedure Dental Procedures  
General Medicine  
Orthopaedics",23.477510398909043,75.9220003894909,General Medicine,35.65,1.0,0.7968
Surya Super Specialty Hospital,Jharkhand,Sahibganj,25.2464,87.6315,4.5,"General Medicine 
Orthopaedics
Obstetrics 
 Gynaecology
Genitourinary Surgery
General Surgery",25.089326864278263,87.60546994143056,Oncology,17.6,0.5,0.7168
Railway Workshop Hospital Kanchrapara,West Bengal,North 24 Parganas,22.9492,88.4209,3.6,"General Medicine 
Orthopaedics 
Gynaecology
General Surgery
Obstetrics
ENT
Paediatrics
",23.0208126894699,88.20087909366029,Oncology,23.91,0.0,0.255
Karnataka Institute of Medical Sciences,Karnataka,Dharwad,15.3629,75.1324,4.2,"
Cardio Thoracic Surgery  
Orthopaedics  
Burns  
Plastic & reconstructive Surgery  
Genitourinary Surgery  
Neuro Surgery  
Polytrauma  
Cardiology",15.593767475203643,75.57074045682104,General Medicine,53.53,0.0,0.2764
Dr. R. N. Cooper Hospital,Maharashtra,Mumbai Suburban,18.5208,73.8608,4.0,"
Paediatric surgery  
Ophthalmology  
Polytrauma  
Neuro Surgery  
Medical Oncology  
Burns  
Plastic & reconstructive Surgery  
Orthopaedics  
Critical Care  
Chest diseases and respiratory medicine (Pulmonology)  
Obstetrics & Gynaecology  
Cardio Thoracic Surgery  
Surgical Oncology  
Nephrology  
Genitourinary Surgery  
Cardiology  
Neurology  
Radiation Oncology  
General Surgery  
ENT",18.640872755928516,73.89426109197632,Cardiology,13.75,1.0,0.964
Vijaya Hospital,Karnataka,Belagavi,15.8742,74.5143,4.3,"Surgical Oncology  
Radiation Oncology  
Orthopaedics  
General Medicine  
Burns  
Plastic & reconstructive Surgery  
Genitourinary Surgery  
General Surgery  
Medical Oncology  
Polytrauma  
Obstetrics 
Gynaecology  
ENT",15.513316194143062,74.11509460301589,Gastroenterology,58.53,0.0,0.3014
Shivna Critical Care  Hospital,Maharashtra,Aurangabad,19.901,75.3524,4.6,"
Paediatrics  
Genitourinary Surgery  
Obstetrics & Gynaecology  
Surgical Oncology  
Ophthalmology  
Neuro Surgery  
Psychiatry  
Burns  
Plastic & reconstructive Surgery  
Orthopaedics  
General Medicine  
Polytrauma  
General Surgery  
Cardiology  
Chest diseases and respiratory medicine (Pulmonology)  
Critical Care",20.138501248109748,75.30461794088981,Pediatrics,26.76,0.5,0.5721
Surya Super Specialty Hospital,Jharkhand,Sahibganj,25.2464,87.6315,4.5,"General Medicine 
Orthopaedics
Obstetrics 
 Gynaecology
Genitourinary Surgery
General Surgery",25.60818562101352,88.07761546213364,ENT,60.17,0.0,0.1996
District Hospital Pune,Maharashtra,Pune,18.5208,73.8608,4.4,"
Chest diseases and respiratory medicine (Pulmonology)  
General Surgery  
Cardiology  
Ophthalmology  
Obstetrics & Gynaecology  
Radiation Oncology  
Neuro Surgery  
Polytrauma  
Surgical Oncology  
Burns  
Plastic & reconstructive Surgery  
ENT  
Genitourinary Surgery  
Nephrology  
Orthopaedics  
Psychiatry
",18.362617351697878,73.62022343343129,General Medicine,30.86,0.0,0.3017
Indira Gandhi District Hospital Mandsaur,Madhya Pradesh,Mandsaur,24.0731,75.0688,3.5,"
General Surgery  
Critical Care  
Orthopaedics  
Polytrauma  
Burns  
Plastic & reconstructive Surgery  
Obstetrics & Gynaecology  
Neonatology  
Ophthalmology  
Paediatrics  
Treatment Procedure Dental Procedures  
ENT  
General Medicine",24.127278002515794,75.22022038835186,Oncology,16.52,0.5,0.5704
Karnataka Institute of Medical Sciences,Karnataka,Dharwad,15.3629,75.1324,4.2,"
Cardio Thoracic Surgery  
Orthopaedics  
Burns  
Plastic & reconstructive Surgery  
Genitourinary Surgery  
Neuro Surgery  
Polytrauma  
Cardiology",15.704429660310042,75.47880784931456,Neurology,53.0,0.0,0.2783
Eastern Railway Hospital Asansol,West Bengal,Paschim Bardhaman,23.6872,86.9664,3.8,"General Medicine 
Orthopaedics 
Gynaecology
General Surgery
Opthalmology
Obstetrics
",23.226626811368508,87.17197517251569,Oncology,55.16,0.0,0.2689
Karnataka Institute of Medical Sciences,Karnataka,Dharwad,15.3629,75.1324,4.2,"
Cardio Thoracic Surgery  
Orthopaedics  
Burns  
Plastic & reconstructive Surgery  
Genitourinary Surgery  
Neuro Surgery  
Polytrauma  
Cardiology",15.246863889919725,75.56498990942525,Oncology,48.2,0.0,0.2659
AIIMS Kalyani,West Bengal,Nadia,22.9717,88.5265,4.5,"Paediatrics  
Treatment Procedure  Dental Procedures  
General Medicine  
Cardio Thoracic Surgery  
Ophthalmology  
Orthopaedics  
Neuro Surgery  
ENT",22.536686409482893,88.42808023642549,Gastroenterology,49.22,0.0,0.2493
CHC Ichak,Jharkhand,Hazaribagh,24.0917,85.4174,3.3,"General Medicine 
Obstetrics 
Gynaecology
General Surgery
Paediatrics",23.844349093960883,84.92248213981803,General Medicine,57.34,1.0,0.7279
